BEARINGID,CODE,NAME=型号,MANUFACTURE,DESCRIPTION,BPFO=外圈,BPFI=内圈,BSF=滚子,FTF=保持架,EDITSTATUS
15855,ZC015855,232-900,TORRNGTN,TORRINGTON CJ-YM BEARINGS,8.6811,11.3189,3.643,0.4341,0
15856,ZC015856,23218,TORRNGTN,TORRINGTON SD BEARINGS,7.7294,10.2706,3.4036,0.4294,0
15857,ZC015857,23220,TORRNGTN,TORRINGTON CJ-YM BEARINGS,7.7042,10.2958,3.3214,0.428,0
15858,ZC015858,23222,TORRNGTN,TORRINGTON CJ-YM BEARINGS,7.6849,10.3151,3.2634,0.4269,0
15859,ZC015859,23224,TORRNGTN,TORRINGTON CJ-YM BEARINGS,7.7166,10.2834,3.3462,0.4287,0
15860,ZC015860,23226,TORRNGTN,TORRINGTON CJ-YM BEARINGS,8.1724,10.8276,3.4197,0.4301,0
15861,ZC015861,23228,TORRNGTN,TORRINGTON CJ-YM BEARINGS,8.1535,10.8465,3.3673,0.4291,0
15862,ZC015862,23230,TORRNGTN,TORRINGTON SD BEARINGS,8.193,10.807,3.4835,0.4312,0
15863,ZC015863,23230B,TORRNGTN,TORRINGTON SD BEARINGS,7.708,10.292,3.3329,0.4282,0
15864,ZC015864,23232,TORRNGTN,TORRINGTON SD BEARINGS,7.6926,10.3074,3.2902,0.4274,0
15865,ZC015865,23234,TORRNGTN,TORRINGTON,7.6806,10.3188,3.2616,0.4272,0
15866,ZC015866,23236,TORRNGTN,TORRINGTON SD BEARINGS,8.1854,10.8146,3.4657,0.4308,0
15867,ZC015867,23238,TORRNGTN,TORRINGTON,8.1834,10.8144,3.462,0.4308,0
15868,ZC015868,23238B,TORRNGTN,TORRINGTON,8.7186,11.2794,3.7566,0.4362,0
15869,ZC015869,23240,TORRNGTN,TORRINGTON SD BEARINGS,8.1845,10.8155,3.4602,0.4308,0
15870,ZC015870,23244,TORRNGTN,TORRINGTON SD BEARINGS,7.7366,10.2634,3.4031,0.4298,0
15871,ZC015871,23248,TORRNGTN,TORRINGTON SD BEARINGS,7.6717,10.3283,3.2335,0.4262,0
15872,ZC015872,23252,TORRNGTN,TORRINGTON SD BEARINGS,7.6573,10.3427,3.1974,0.4254,0
15873,ZC015873,23252B,TORRNGTN,TORRINGTON SD BEARINGS,8.2426,10.7574,3.6303,0.4338,0
15874,ZC015874,23256,TORRNGTN,TORRINGTON,8.1738,10.8258,3.4326,0.4302,0
15875,ZC015875,23260,TORRNGTN,TORRINGTON,8.1738,10.8258,3.432,0.4302,0
15876,ZC015876,23264,TORRNGTN,TORRINGTON,8.1714,10.8276,3.4236,0.4302,0
15877,ZC015877,23268,TORRNGTN,TORRINGTON SD BEARINGS,7.6818,10.3182,3.2608,0.4268,0
15878,ZC015878,23268B,TORRNGTN,TORRINGTON SD BEARINGS,8.249,10.751,3.6497,0.4342,0
15879,ZC015879,23272,TORRNGTN,TORRINGTON SD BEARINGS,8.17,10.83,3.4203,0.43,0
15880,ZC015880,23276,TORRNGTN,TORRINGTON,7.7328,10.2666,3.4026,0.429,0
15881,ZC015881,23280,TORRNGTN,TORRINGTON SD BEARINGS,8.7364,11.2636,3.8045,0.4368,0
15882,ZC015882,23284,TORRNGTN,TORRINGTON SD BEARINGS,8.1684,10.8316,3.4155,0.4299,0
15883,ZC015883,23288,TORRNGTN,TORRINGTON SD BEARINGS,8.2402,10.7598,3.6201,0.4337,0
15884,ZC015884,23292,TORRNGTN,TORRINGTON,8.1654,10.8336,3.411,0.429,0
15885,ZC015885,23296,TORRNGTN,TORRINGTON SD BEARINGS,7.7232,10.2768,3.3781,0.4291,0
15886,ZC015886,233144,TORRNGTN,TORRINGTON,9.181,11.82,3.845,0.437,0
15887,ZC015887,23318,TORRNGTN,TORRINGTON SD BEARINGS,6.1771,8.8229,2.6652,0.4118,0
15888,ZC015888,23322,TORRNGTN,TORRINGTON CJ-YM BEARINGS,5.7079,8.2921,2.5263,0.4077,0
